abandon|放弃，抛弃
go|去，走
goal|目标，球门
goat|山羊
god|神，上帝
gold|金，黄金
golden|金色的，黄金般的
golf|高尔夫球
good|好的，优秀的
goodbye|再见，再会
goods|商品，货物
gorgeous|华丽的，灿烂的
govern|统治，管理
government|政府，内阁
governor|统治者，州长
gown|长袍，礼服
grab|抓住，攫取
grace|优美，优雅
graceful|优雅的，优美的
grade|等级，年级
gradual|逐渐的，逐步的
graduate|毕业生；毕业
graduation|毕业，毕业典礼
grain|谷物，颗粒
gram|克（重量单位）
grammar|语法，文法
grand|宏大的，重大的
grandfather|祖父，爷爷
grandmother|祖母，奶奶
grant|授予，给予
grape|葡萄
graph|图表，曲线图
grasp|抓住，理解
grass|草，草地
grateful|感激的，感谢的
grave|严重的，重大的
gravity|重力，严重性
great|伟大的，巨大的
greedy|贪婪的，贪心的
green|绿色的，环保的
greenhouse|温室，暖房
greet|问候，打招呼
greeting|问候，致意
grey|灰色的，阴沉的
grocer|食品商，杂货商
grocery|食品杂货店
ground|地面，土地
group|组，群
grow|生长，种植
growth|增长，发展
guarantee|保证，担保
guard|警卫，保卫
guess|猜测，估计
guest|客人，宾客
guidance|指导，引导
guide|指南，向导
guideline|指导方针，准则
guilt|罪行，内疚
guilty|有罪的，内疚的
guitar|吉他，六弦琴
gun|枪，炮
guy|家伙，伙计
gym|体育馆，健身房
habit|习惯，习性
hair|头发，毛发
half|一半，半数
hall|大厅，礼堂
halt|停止，暂停
hand|手，协助
handful|一把；少数
handle|把手；处理
handsome|英俊的，漂亮的
handwriting|书法，笔迹
handy|方便的，手边的
hang|悬挂，吊着
happen|发生，碰巧
happy|快乐的，幸福的
harbor|海港，避难所
hard|困难的；硬的
harden|使变硬，坚定
hardly|几乎不，简直不
hardship|艰难，困苦
hardware|硬件，五金
harm|伤害，损害
harmony|和谐，融洽
harness|利用，治理
harsh|严厉的，刺耳的
harvest|收获，收割
hat|帽子
hate|憎恨，讨厌
hatred|仇恨，憎恶
have|有，拥有
hawk|鹰，鹰派人物
hay|干草，稻草
hazard|危险，危害
he|他
head|头，头部
headache|头痛
headline|大字标题，新闻提要
headquarters|总部，司令部
heal|治愈，愈合
health|健康，卫生
healthy|健康的，健壮的
heap|堆，大量
hear|听见，听说
hearing|听力，听觉
heart|心脏，内心
heat|热，热度
heaven|天堂，天空
heavy|重的，沉重的
heel|脚后跟，鞋跟
height|高度，身高
helicopter|直升机
hell|地狱，苦境
hello|你好，喂
help|帮助，援助
helpful|有帮助的，有益的
hen|母鸡，雌禽
her|她的，她
herb|草药，香草
herd|兽群，牧群
here|这里，此处
hero|英雄，男主角
heroic|英雄的，英勇的
hers|她的（所有物）
herself|她自己
hesitate|犹豫，迟疑
hi|嗨，你好
hide|隐藏，躲避
high|高的，高级的
highlight|突出，强调
highly|高度地，非常
highway|公路，大路
hill|小山，山丘
him|他（宾格）
himself|他自己
hint|暗示，线索
hip|臀部，髋骨
hire|雇佣，租用
his|他的
historical|历史的，史学的
history|历史，经历
hit|打，击中
hobby|业余爱好，嗜好
hold|握住，举行
hole|洞，孔
holiday|假期，假日
hollow|空的，空心的
holy|神圣的，圣洁的
home|家，家庭
homework|家庭作业
honest|诚实的，正直的
honesty|诚实，正直
honey|蜂蜜，亲爱的
honor|荣誉，荣幸
hope|希望，期望
hopeful|有希望的，有前途的
horizon|地平线，视野
horizontal|水平的，横的
horn|号角，喇叭
horrible|可怕的，恐怖的
horror|恐怖，战栗
horse|马，马匹
hospital|医院，诊所
host|主人；主持人
hostess|女主人，空姐
hot|热的，辣的
hotel|旅馆，酒店
hour|小时，时刻
house|房子，住宅
household|家庭的；家务
housewife|家庭主妇
housework|家务劳动
how|如何，怎样
however|然而，无论如何
huge|巨大的，庞大的
human|人类的，人的
humor|幽默，诙谐
humorous|幽默的，诙谐的
hundred|一百
hunger|饥饿，渴望
hungry|饥饿的，渴望的
hunt|打猎，搜寻
hunter|猎人，搜寻者
hurry|匆忙，赶紧
hurt|伤害，刺痛
husband|丈夫
hut|小屋，棚屋
hydrogen|氢，氢气
ice|冰，冰块
ice-cream|冰淇淋
idea|想法，主意
ideal|理想的，完美的
identical|完全相同的，同一的
identify|识别，鉴别
identity|身份，特征
idiom|习语，成语
if|如果，是否
ignorance|无知，愚昧
ignorant|无知的，愚昧的
ignore|忽视，不理睬
ill|生病的，坏的
illegal|非法的，违法的
illness|疾病，病痛
illustrate|说明，阐明
image|形象，图像
imagination|想象，想象力
imagine|想象，设想
imitate|模仿，仿效
immediate|立即的，即刻的
immense|巨大的，广大的
immigrant|移民，侨民
impact|影响，冲击
impatient|不耐烦的，急躁的
implement|实施，执行
implication|含义，暗示
imply|暗示，意味
import|进口，输入
importance|重要性，价值
important|重要的，重大的
impossible|不可能的，办不到的
impress|给...留下印象
impression|印象，感觉
improve|改善，改进
improvement|改善，改进
incident|事件，事变
include|包括，包含
income|收入，所得
increase|增加，增长
increasingly|越来越多地，渐增地
indeed|确实，的确
independence|独立，自主
independent|独立的，自主的
index|索引，指标
Indian|印度的；印第安人的
indicate|表明，暗示
indication|指示，迹象
indifferent|冷漠的，不感兴趣的
indirect|间接的，迂回的
indispensable|必不可少的，必需的
individual|个人的，单独的
indoor|室内的
industrial|工业的，产业的
industry|工业，行业
inevitable|不可避免的，必然的
infect|传染，感染
infer|推断，推论
inference|推论，结论
infinite|无限的，无穷的
influence|影响，作用
influential|有影响力的，有权势的
inform|通知，告知
information|信息，资料
ingredient|成分，原料
inhabit|居住于，栖息于
inhabitant|居民，住户
inherit|继承，遗传
initial|最初的，开头的
initiative|主动性，首创精神
injure|伤害，损害
injury|伤害，损害
ink|墨水，油墨
inn|小旅馆，客栈
inner|内部的，内心的
innocent|无辜的，清白的
innovation|创新，革新
input|输入，投入
inquire|询问，调查
inquiry|询问，调查
insect|昆虫，虫子
insert|插入，嵌入
inside|在里面，在内部
insist|坚持，坚决要求
inspect|检查，视察
inspection|检查，视察
inspire|鼓舞，激励
instant|瞬间，立即的
instead|代替，反而
instinct|本能，直觉
institute|学院，研究所
institution|机构，惯例
instruct|指示，命令
instruction|指令，教导
instrument|仪器，工具
insurance|保险，保险费
insure|给...保险
integrate|使结合，使一体化
integrity|完整，正直
intellectual|智力的，知识分子
intelligence|智力，情报
intelligent|聪明的，有才智的
intend|打算，想要
intense|强烈的，紧张的
intensity|强度，烈度
intensive|加强的，集中的
intention|意图，目的
interaction|互动，交流
interest|兴趣，利息
interesting|有趣的，引人入胜的
interfere|干涉，干扰
interference|干涉，干扰
interior|内部的，内地的
intermediate|中间的，中级的
internal|内部的，国内的
international|国际的，世界的
interpret|口译，解释
interpretation|解释，口译
interrupt|打断，中断
interval|间隔，间歇
interview|面试，采访
intimate|亲密的，私人的
introduce|介绍，引进
introduction|介绍，引进
invade|入侵，侵略
invasion|入侵，侵略
invent|发明，创造
invention|发明，创造
inventor|发明家，创造者
invest|投资，投入
investigate|调查，研究
investment|投资，投入
invite|邀请，招待
involve|涉及，包含
involvement|卷入，牵连
iron|铁，熨斗
irregular|不规则的，不整齐的
island|岛屿，岛
isolate|使孤立，隔离
issue|问题，发行
it|它
Italian|意大利的，意大利人的
item|项目，条款
its|它的
itself|它自己
jacket|夹克，外套
jail|监狱，看守所
jam|果酱；堵塞
January|一月
jar|罐子，广口瓶
jaw|下巴，颌
jazz|爵士乐
jealous|嫉妒的，吃醋的
jeans|牛仔裤
jet|喷气式飞机；喷射
jewel|宝石，珠宝
job|工作，职业
join|连接，参加
joint|关节；连接的
joke|笑话，玩笑
journal|日报，日志
journalist|记者，新闻工作者
journey|旅程，旅行
joy|快乐，喜悦
judge|法官，裁判
judgment|判断，裁判
juice|果汁，液汁
July|七月
jump|跳跃，跳动
June|六月
jungle|丛林，密林
junior|初级的，年少的
jury|陪审团，评委会
just|公正的；刚才
justice|正义，公正
justify|证明...是正当的
keen|热切的，敏锐的
keep|保持，保留
kettle|水壶，锅
key|钥匙，关键
keyboard|键盘
kick|踢，反冲
kid|小孩，孩子
kill|杀死，扼杀
kilo|千克，公里
kilogram|千克，公斤
kilometer|千米，公里
kind|亲切的，种类
kindergarten|幼儿园
king|国王，君主
kingdom|王国，领域
kiss|吻，亲吻
kitchen|厨房，灶间
knee|膝盖，膝部
knife|刀，餐刀
knock|敲，击打
know|知道，了解
knowledge|知识，学问
lab|实验室，研究室
label|标签，标记
labor|劳动，劳力
laboratory|实验室，研究室
lack|缺乏，不足
ladder|梯子，阶梯
lady|女士，夫人
lake|湖，湖泊
lamb|羔羊，小羊
lamp|灯，台灯
land|陆地，土地
landing|楼梯平台，着陆
landlord|房东，地主
lane|小路，车道
language|语言，言语
lantern|灯笼，灯塔
lap|一圈，大腿
large|大的，巨大的
largely|主要地，大量地
laser|激光
last|最后的，最近的
late|晚的，迟的
lately|最近，不久前
later|后来，稍后
Latin|拉丁语的，拉丁人的
latter|后者的，后一半的
laugh|笑，大笑
laughter|笑声，笑料
launch|发射，发起
laundry|洗衣店，待洗衣物
lavatory|厕所，盥洗室
law|法律，法规
lawn|草坪，草地
lawyer|律师，法学家
lay|放置，铺设
layer|层，层次
layman|外行，俗人
lazy|懒惰的，懒散的
lead|领导，引导
leader|领导者，领袖
leadership|领导，领导地位
leading|主要的，首要的
leaf|叶子，页
league|联盟，社团
leak|漏洞，泄漏
lean|倾斜，依靠
learn|学习，学会
learned|博学的，有学问的
learning|学习，知识
least|最小的，最少的
leather|皮革，皮制品
leave|离开，留下
lecture|讲座，讲课
left|左边的，左侧的
leg|腿，支柱
legal|法律的，合法的
legend|传说，传奇
lemon|柠檬
lend|借给，借出
length|长度，长
lens|透镜，镜头
less|更少的，较小的
lessen|减少，减轻
lesson|课程，教训
let|让，允许
letter|信，字母
level|水平，等级
lever|杠杆，工具
liability|责任，债务
liable|有责任的，有...倾向的
liberal|自由的，慷慨的
liberate|解放，释放
liberty|自由，自由权
library|图书馆，藏书
license|执照，许可证
lick|舔，舔吃
lid|盖子，盖
lie|躺，位于
lie|说谎，撒谎
life|生命，生活
lifetime|一生，终生
lift|电梯，举起
light|光，光线
lightning|闪电，雷电
like|喜欢，喜爱
likely|可能的，有希望的
limit|限制，限度
limited|有限的，受限的
line|线，线条
link|链接，联系
lion|狮子，猛兽
lip|嘴唇，唇边
liquid|液体，液态的
list|列表，清单
listen|听，倾听
liter|升（容量单位）
literary|文学的，书面的
literature|文学，文献
litter|垃圾，废物
little|小的，很少的
live|居住，生活
lively|活泼的，充满活力的
liver|肝脏，生活者
living|活着的，生活的
load|负载，负荷
loaf|一条面包，游荡
loan|贷款，借出
local|当地的，局部的
locate|位于，坐落于
location|位置，地点
lock|锁，锁住
locomotive|火车头，机车
log|原木，日志
logic|逻辑，逻辑学
logical|逻辑的，合乎逻辑的
lonely|孤独的，寂寞的
long|长的，长期的
longitude|经度，经线
look|看，看起来
loop|环，圆圈
loose|松的，宽松的
loosen|松开，放松
lord|上帝，贵族
lorry|卡车，货车
lose|丢失，失去
loss|损失，亏损
lost|迷失的，丢失的
lot|许多，大量
loud|大声的，响亮的
loudspeaker|扬声器，扩音器
love|爱，热爱
lovely|可爱的，美好的
lover|爱好者，情人
low|低的，矮的
lower|较低的，下级的
loyal|忠诚的，忠心的
loyalty|忠诚，忠心
luck|运气，好运
lucky|幸运的，走运的
luggage|行李，皮箱
lump|块，团
lunch|午餐，午饭
lung|肺，肺脏
luxury|奢侈，奢华
machine|机器，机械
machinery|机械，机器（总称）
mad|发疯的，生气的
magazine|杂志，期刊
magic|魔法，魔术
magician|魔术师，巫师
magnet|磁铁，磁体
magnetic|磁性的，有吸引力的
magnificent|壮丽的，宏伟的
maid|女仆，侍女
mail|邮件，邮政
main|主要的，首要的
mainland|大陆，本土
mainly|主要地，大部分
maintain|维持，保持
maintenance|维护，保养
major|主要的，重大的
majority|大多数，大部分
make|制造，使得
male|男性的，雄性的
mall|购物中心，林荫大道
man|男人，人
manage|管理，经营
management|管理，经营
manager|经理，管理人员
mandate|命令，授权
maneuver|策略，花招
manner|方式，态度
manual|手册，指南
manufacture|制造，加工
manufacturer|制造商，厂商
many|许多的，大量的
map|地图，天体图
marathon|马拉松赛跑
marble|大理石，弹珠
march|三月；行军
margin|页边空白；利润
marginal|微小的，边缘的
marine|海生的，海产的
mark|标记，分数
market|市场，销路
marriage|结婚，婚姻
married|已婚的，婚姻的
marry|结婚，嫁，娶
mask|面具，口罩
mass|大量，团
massive|巨大的，大规模的
master|主人，大师
match|比赛，火柴
mate|伙伴，同事
material|材料，原料
math|数学
mathematics|数学
matter|事情，物质
mature|成熟的，到期的
maximum|最大值，最大限度
may|可以，也许
maybe|大概，或许
mayor|市长
me|我（宾格）
meal|一餐，膳食
mean|意思是，意味着
meaning|意义，含义
means|方法，手段
meantime|其间，同时
meanwhile|同时，当...的时候
measure|测量，衡量
meat|肉，肉类
mechanic|技工，机修工
mechanical|机械的，力学的
mechanism|机制，机械装置
medial|媒体，媒介
edit|编辑，剪辑
medical|医学的，医疗的
medicine|药，医学
medium|中等的，媒介
meet|遇见，满足
meeting|会议，集会
melon|瓜，甜瓜
member|成员，会员
membership|会员资格，成员身份
memo|备忘录
memorial|纪念物，纪念碑
memory|记忆，内存
mend|修理，修补
mental|精神的，脑力的
mention|提及，说起
menu|菜单，饭菜
mercy|仁慈，宽恕
merchant|商人，生意人
mercury|水银，汞
mercy|仁慈，宽容
mere|仅仅，只不过
merely|仅仅，只不过
merit|优点，价值
merry|愉快的，欢乐的
mess|混乱，脏乱
message|消息，信息
messy|凌乱的，肮脏的
metal|金属，合金
meter|米，仪表
method|方法，办法
metre|米，公尺
metric|公制的，米制的
middle|中间的，中部的
midnight|午夜，半夜
might|可能，也许
migrate|迁移，移居
mild|温和的，轻微的
mile|英里
militant|好斗的，激进的
military|军事的，军用的
milk|牛奶，乳汁
mill|工厂，磨坊
million|百万，百万个
mind|头脑，精神
mine|我的（所有物）
mineral|矿物，矿物质
minimum|最小值，最低限度
minister|部长，大臣
minor|较小的，次要的
minority|少数，少数民族
minus|减去，负的
minute|分钟，片刻
miracle|奇迹，奇事
mirror|镜子，反映
miserable|痛苦的，悲惨的
mislead|误导，将...引入歧途
miss|想念，错过
missile|导弹，飞弹
mist|薄雾，雾霭
mistake|错误，过失
mistress|女主人，情妇
misunderstand|误解，误会
mix|混合，搅拌
mixture|混合物，混合体
moan|呻吟，抱怨
mobile|移动的，易变的
mode|方式，模式
model|模型，模特
moderate|适度的，中等的
modern|现代的，近代的
modest|谦虚的，适度的
modify|修改，更改
moist|潮湿的，湿润的
moisture|水分，湿气
molecule|分子，微粒
moment|时刻，瞬间
Monday|星期一
money|钱，货币
monitor|监视器，班长
monster|怪物，妖怪
month|月，月份
mood|情绪，心情
moon|月亮，月球
moral|道德的，道义的
more|更多的，另外的
moreover|而且，此外
morning|早晨，上午
mortgage|抵押贷款
most|最多的，大多数的
mostly|主要地，大部分
mother|母亲，妈妈
motion|运动，手势
motivate|激发，激励
motive|动机，目的
motor|发动机，马达
mount|登上，爬上
mountain|山，山脉
mouse|老鼠，耗子
mouth|嘴，口
move|移动，搬家
movement|运动，动作
movie|电影，影片
much|许多的，大量的
mud|泥，泥浆
multiply|乘，繁殖
murder|谋杀，凶杀
murderer|凶手，谋杀犯
muscle|肌肉，体力
music|音乐，乐曲
musical|音乐的，悦耳的
musician|音乐家，乐师
must|必须，一定
mutton|羊肉
mutual|相互的，共同的
my|我的
myself|我自己
mysterious|神秘的，不可思议的
nail|钉子，指甲
naked|裸体的，无遮蔽的
name|名字，名称
namely|即，也就是
nap|小睡，打盹
napkin|餐巾纸，尿布
narrow|狭窄的，狭隘的
nation|国家，民族
national|国家的，国民的
nationality|国籍，民族
native|本土的，当地的
natural|自然的，正常的
naturally|自然地，天然地
nature|自然界，性质
naval|海军的，军舰的
navigation|导航，航行
navy|海军，舰队
near|近的，接近的
nearby|附近的，在附近
nearby|在附近；附近的
nearly|几乎，差不多
neat|整洁的；利索的
necessarily|必要地；必然地
necessary|必要的，必需的
neck|脖子，颈
necklace|项链
need|需要；必须
needle|针，指针
negative|消极的；否定的
neglect|忽视，忽略
negotiate|谈判，协商
Negro|黑人
neighbor|邻居
neighborhood|街区，邻近
neither|两者都不
nerve|神经；勇气
nervous|紧张的，神经质的
nest|巢，窝
net|网；净重
network|网络，网状系统
neutral|中立的，中性的
never|从未，绝不
nevertheless|然而，不过
new|新的，新鲜的
news|新闻，消息
newspaper|报纸
next|下一个的；其次
nice|美好的，友好的
niece|侄女，外甥女
night|夜晚，黑夜
nine|九
nineteen|十九
ninety|九十
ninth|第九
no|不；没有
noble|高尚的；贵族的
nobody|没有人，无名小卒
nod|点头
noise|噪音，喧闹声
noisy|嘈杂的，喧闹的
none|没有一个，毫无
nonetheless|尽管如此，然而
nonsense|胡说，废话
noon|中午，正午
nor|也不
normal|正常的，标准的
normally|正常地，通常地
north|北，北方
northeast|东北
northern|北方的，北部的
northwest|西北
nose|鼻子
not|不，没有
note|笔记；便条
notebook|笔记本
nothing|没有东西，无事
notice|注意；布告
noticeable|显而易见的
notify|通知，告知
notion|概念，想法
novel|小说
novelist|小说家
November|十一月
now|现在，目前
nowadays|如今，现在
nowhere|任何地方都不
nuclear|原子核的；核心的
number|数字；号码
numerous|众多的，许多的
nurse|护士；保姆
nut|坚果，螺母
nylon|尼龙，聚酰胺纤维
obey|服从，听从
object|物体；反对
objection|反对，异议
objective|客观的；目标
obligation|义务，责任
obscure|模糊的，晦涩的
observe|观察；遵守
observer|观察者，观察员
obstacle|障碍，障碍物
obtain|获得，得到
obvious|明显的，显而易见的
obviously|明显地，显而易见地
occasion|场合，时机
occasional|偶尔的，偶然的
occupation|职业，占用
occupy|占据，占领
occur|发生，出现
occurrence|发生，事件
ocean|海洋，大海
October|十月
odd|奇怪的；奇数的
odds|可能性，机会
odor|气味，名声
of|...的
off|离开；关闭
offend|冒犯，得罪
offense|冒犯，罪行
offer|提供；提议
office|办公室，职务
officer|官员，军官
official|官方的，正式的
offset|抵消，补偿
offspring|后代，子孙
often|经常，常常
oh|哦，啊
oil|油，石油
okay|好的，可以
old|老的，古老的
Olympic|奥林匹克的
omit|省略，遗漏
on|在...上；关于
once|一次；曾经
one|一，一个
ongoing|正在进行的，持续的
onion|洋葱，葱头
only|唯一的；仅仅
onto|到...上面
open|开着的；开放的
opening|开始；空缺
opera|歌剧
operate|操作，运转
operation|操作，手术
operator|操作员，接线员
opinion|意见，看法
opponent|对手，敌手
opportunity|机会，时机
oppose|反对，反抗
opposite|相反的；对面
oppress|压迫，压制
opt|选择，抉择
optical|光的，视力的
optimistic|乐观的，乐观主义的
option|选择，选项
or|或者；否则
oral|口头的，口述的
orange|橙子；橙色的
orbit|轨道；环绕
order|顺序；命令
orderly|整齐的；有秩序的
ordinary|普通的，平凡的
organ|器官；风琴
organic|有机的，有机体的
organism|生物体，有机体
organization|组织，机构
organize|组织，安排
origin|起源，出身
original|最初的；原创的
other|其他的，另外的
otherwise|否则；另外
ought|应该，应当
ounce|盎司，少量
our|我们的
ours|我们的（所有物）
ourselves|我们自己
out|出，在外
outcome|结果，后果
outdoor|户外的，露天的
outer|外部的，外面的
outlet|出口，插座
outline|大纲，轮廓
outlook|展望，观点
output|产量，输出
outside|外面的；在...外
outstanding|杰出的，突出的
outward|向外的，外出的
oven|烤箱，烤炉
over|在...上方；超过
overall|总体的；全部的
overcoat|大衣，外套
overcome|克服，战胜
overhead|头顶上的；管理费用
overlook|俯瞰；忽视
overnight|通宵的；突然的
overseas|海外的，在海外
overtake|追上，超过
owe|欠；归功于
own|自己的；拥有
owner|主人，物主
ownership|所有权，物主身份
ox|牛，公牛
oxygen|氧气，氧
pace|步速，速度
pacific|和平的，平静的
pack|包；打包
package|包裹，包
packet|小包，数据包
pad|垫；便笺本
page|页，页面
pain|疼痛，痛苦
painful|痛苦的，疼痛的
paint|油漆；绘画
painter|画家，油漆工
painting|绘画，油画
pair|一对，一双
palace|宫殿，宅邸
pale|苍白的，暗淡的
palm|手掌，棕榈树
pan|平底锅，盘子
panel|面，板
panic|恐慌，惊慌
paper|纸，报纸
parade|游行，检阅
paragraph|段落，节
parallel|平行的；类似的
parcel|包裹，邮包
pardon|原谅，宽恕
parent|父母亲，双亲
park|公园；停车
parliament|议会，国会
part|部分，角色
partial|部分的，偏爱的
participant|参与者，参加者
participate|参与，参加
particular|特别的，挑剔的
partly|部分地，在一定程度上
partner|伙伴，合伙人
party|聚会，党派
pass|通过；传递
passage|通道，段落
passenger|乘客，旅客
passion|激情，热情
passive|被动的，消极的
passport|护照
past|过去的；经过
paste|浆糊；粘贴
pastime|消遣，娱乐
patent|专利；专利的
path|小路，路径
patience|耐心，忍耐
patient|耐心的；病人
pattern|模式，图案
pause|暂停，停顿
pave|铺（路），铺筑
pavement|人行道
pay|支付，付款
payment|支付，付款额
pea|豌豆
peace|和平，安宁
peaceful|和平的，平静的
peak|山顶，顶点
peanut|花生
pear|梨子，梨树
pearl|珍珠，珍品
peasant|农民，佃农
peculiar|奇怪的，特殊的
pen|钢笔，圆珠笔
pencil|铅笔
penetrate|穿透，渗透
penny|便士，美分
pension|养老金，抚恤金
people|人们，人民
per|每，每一
perceive|察觉，感知
percent|百分比，百分数
percentage|百分比，百分率
perfect|完美的，极好的
perform|表演，执行
performance|表演，表现
perhaps|也许，可能
period|时期，一段时间
permanent|永久的，永恒的
permission|许可，允许
permit|许可；许可证
persist|坚持，持续
person|人，身体
personal|个人的，私人的
personnel|人事，全体人员
perspective|视角，远景
persuade|说服，劝说
pessimistic|悲观的，悲观主义的
pet|宠物；受宠爱的人
petrol|汽油
phase|阶段，相位
phenomenon|现象，奇迹
philosopher|哲学家，思想家
philosophy|哲学，人生观
phone|电话，电话机
photo|照片，相片
phrase|短语，词组
physical|身体的；物理的
physician|内科医生
physicist|物理学家
physics|物理，物理学
piano|钢琴
pick|挑选，采摘
picnic|野餐，郊游
picture|图片，照片
pie|馅饼，派
piece|片，块
pierce|刺穿，穿透
pig|猪，猪肉
pigeon|鸽子
pile|堆，大量
pill|药丸，药片
pilot|飞行员，领航员
pin|别针，大头针
pinch|捏，掐
pine|松树
pink|粉色，粉红色的
pint|品脱（容量单位）
pipe|管子，烟斗
pit|深坑，矿井
pitch|场地；音高
pity|同情，怜悯
place|地方，地点
plain|清楚的；平原
plan|计划，打算
plane|飞机；平面
planet|行星
plant|植物；工厂
plastic|塑料的；可塑的
plate|盘子，碟子
platform|平台；站台
play|玩，比赛
player|运动员，选手
playground|操场，运动场
plea|恳求，请求
plead|恳求；辩护
pleasant|令人愉快的，舒适的
please|请；使高兴
pleasure|快乐，愉快
pledge|保证，誓言
plentiful|丰富的，充足的
plenty|大量，充足
plot|情节；小块土地
plug|插头；插座
plunge|投入；使突然下降
plural|复数的；复数
plus|加；正的
pocket|口袋，钱袋
poem|诗，韵文
poet|诗人
poetry|诗歌，诗作
point|点，要点
poison|毒药；毒害
poisonous|有毒的，恶毒的
pole|杆，柱
police|警察，警方
policeman|男警察
policy|政策，方针
polish|磨光，擦亮
polite|有礼貌的，客气的
political|政治的，政治上的
politics|政治，政治活动
poll|投票，民意测验
pollute|污染，弄脏
pollution|污染，污染物
pond|池塘
pool|水池，水塘
poor|贫穷的，可怜的
pop|流行音乐；爆裂声
popular|流行的，大众的
population|人口，人数
porch|门廊，走廊
pork|猪肉
port|港口，口岸
portable|手提的，便携的
porter|搬运工，门房
portion|部分，一份
portrait|肖像，画像
position|位置，职位
positive|积极的；肯定的
possess|拥有，占有
possession|财产，所有物
possibility|可能性，可能
possible|可能的，能做到的
post|邮寄；岗位
postage|邮资，邮费
postcard|明信片
poster|海报，招贴画
postman|邮递员
postpone|推迟，延期
pot|罐，壶
potato|土豆，马铃薯
potential|潜在的；潜力
pound|磅；英镑
pour|倒，灌
poverty|贫穷，贫困
powder|粉末，粉
power|力量，权力
powerful|强有力的，强大的
practical|实际的，实用的
practice|练习，实践
praise|赞扬，表扬
pray|祈祷，恳求
prayer|祈祷，祷告
precious|珍贵的，宝贵的
precise|精确的，准确的
predict|预言，预测
prefer|更喜欢，宁愿
preference|偏爱，优先权
prejudice|偏见，成见
preliminary|初步的，预备的
premier|首要的；总理
preparation|准备，预备
prepare|准备，预备
prescribe|开（药），规定
presence|出席，存在
present|出席的；礼物
present|赠送；提出
presentation|展示，陈述
preserve|保护，保存
president|总统，校长
press|按，压
pressure|压力，压迫
pretend|假装，装作
pretty|漂亮的，可爱的
prevent|阻止，妨碍
previous|以前的，先前的
price|价格，代价
pride|骄傲，自豪
priest|牧师，神父
primary|主要的，初级的
prime|主要的，首要的
primitive|原始的，简单的
prince|王子，亲王
princess|公主，王妃
principal|校长；主要的
principle|原则，原理
print|印刷，打印
prior|优先的，在前的
prison|监狱，牢房
prisoner|囚犯，犯人
private|私人的，私有的
privilege|特权，优待
prize|奖品，奖金
probable|可能的，大概的
probably|很可能，大概
problem|问题，难题
procedure|程序，步骤
proceed|继续进行，开始
process|过程；加工
produce|生产，制造
product|产品，产物
production|生产，产量
profession|职业，专业
professional|专业的，职业的
professor|教授
profit|利润，收益
program|程序，计划
progress|进步，进展
prohibit|禁止，阻止
project|项目，工程
prominent|杰出的，突出的
promise|承诺，诺言
promote|促进，提升
prompt|提示；迅速的
pronounce|发音，宣布
proof|证据，证明
proper|适当的，正确的
property|财产，资产
proportion|比例，份额
proposal|提议，建议
propose|提议，建议
prospect|前景，前途
prosperity|繁荣，兴旺
protect|保护，保卫
protection|保护，防卫
proud|骄傲的，自豪的
prove|证明，证实
provide|提供，供给
provided|假如，倘若
province|省，省份
provision|提供，条款
psychology|心理学
public|公众的，公共的
publish|出版，发行
pull|拉，拖
pulse|脉搏；脉冲
pump|泵；打气
punch|拳打；打孔
punctual|守时的，准时的
punish|惩罚，处罚
pupil|小学生，瞳孔
purchase|购买，购置
pure|纯的，纯粹的
purple|紫色的，紫红色的
purpose|目的，意图
purse|钱包，女用小包
pursue|追求，致力于
push|推，推动
put|放，置
puzzle|谜；使困惑
qualification|资格，条件
qualify|使具有资格
quality|质量，品质
quantity|数量，量
quarter|四分之一；季度
queen|女王，王后
question|问题，疑问
questionnaire|问卷，调查表
quick|快的，迅速的
quiet|安静的，平静的
quit|停止，放弃
quite|相当，十分
quiz|测验，小考
quota|配额，限额
quote|引用，引述
rabbit|兔子，野兔
race|种族；赛跑
racial|种族的，人种的
rack|架子，挂架
radar|雷达
radiation|辐射，放射线
radio|收音机，无线电
radish|萝卜
radium|镭
radius|半径，范围
rage|愤怒，狂怒
raid|袭击，搜捕
rail|栏杆，铁轨
railroad|铁路，铁道
railway|铁路，铁道
rain|雨，雨水
rainbow|彩虹
rainy|下雨的，多雨的
raise|举起，提高
rally|集会；恢复（健康）
range|范围；一系列
rank|等级，军衔
rapid|快速的，急速的
rare|罕见的，稀有的
rarely|很少，不常
rat|老鼠，耗子
rate|比率，速度
rather|相当；宁愿
ratio|比，比率
rational|理性的，合理的
raw|生的；未加工的
ray|光线，射线
reach|到达，伸出
react|反应，起作用
read|阅读，朗读
reader|读者；读物
readily|乐意地；容易地
reading|阅读，读书
ready|准备好的，乐意的
real|真的，真实的
reality|现实，实际
realize|意识到，实现
really|真正地，确实
realm|领域，王国
rear|后面的； rear 部
reason|原因，理由
reasonable|合理的，公道的
rebel|反叛，反抗
recall|回忆，召回
receipt|收据，收条
receive|收到，接到
receiver|接收者，听筒
recent|最近的，近来的
reception|接待，接收
recession|衰退，不景气
recipe|食谱，菜谱
recognition|认出，承认
recognize|认识，承认
recommend|推荐，建议
record|记录；唱片
record|记录，记载
recorder|录音机，记录员
recover|恢复，康复
recovery|恢复，痊愈
recreation|娱乐，消遣
recruit|招募，招聘
recycle|回收利用，循环
red|红色的，红的
reduce|减少，降低
reduction|减少，降低
